"Table 3F: Alcohol-specific deaths (new National Statistics definition) of females by age-group and average age at death: registered in Scotland, 1979 to 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Age at death,,,,,,,,,,,,,,,,,,,,,,,
1980 to 1984,120,0,0,0,0,0,2,4,6,11,17,19,21,20,11,7,2,1,0,0,,54.7,,
1981 to 1985,122,0,0,0,0,1,2,4,6,9,16,19,22,21,13,8,2,1,0,0,,55.4,,
1982 to 1986,128,0,0,0,0,1,1,4,8,10,16,20,22,21,14,9,2,2,0,0,,55.4,,
1983 to 1987,129,0,0,0,0,1,2,4,8,9,15,22,20,20,15,8,3,2,0,0,,55.3,,
1984 to 1988,131,0,0,0,0,1,2,4,9,9,16,21,21,22,15,7,3,2,0,0,,55.4,,
1985 to 1989,131,0,0,0,0,1,1,3,9,8,15,20,23,21,16,8,3,2,0,0,,55.9,,
1986 to 1990,133,0,0,0,0,1,1,2,10,11,16,20,23,20,16,8,3,2,0,0,,55.6,,
1987 to 1991,138,0,0,0,0,0,1,3,10,12,19,19,22,21,15,7,5,2,1,0,,55.4,,
1988 to 1992,140,0,0,0,0,0,1,3,11,13,21,17,22,23,14,7,5,2,1,0,,55.3,,
1989 to 1993,141,0,0,0,0,0,1,4,9,14,22,18,22,22,12,9,4,2,1,0,,55.2,,
1990 to 1994,145,0,0,0,0,0,1,4,11,17,22,18,21,23,13,8,5,1,1,0,,54.7,,
1991 to 1995,157,0,0,0,0,0,1,6,10,18,24,20,22,26,13,8,6,1,1,0,,54.8,,
1992 to 1996,177,0,0,0,0,1,1,5,10,20,27,25,25,29,17,10,6,1,1,0,,55.0,,
1993 to 1997,202,0,0,0,0,1,1,6,12,24,29,33,28,30,20,11,7,1,1,0,,54.8,,
1994 to 1998,230,0,0,0,0,1,1,5,15,27,32,37,32,33,24,12,8,2,1,0,,54.9,,
1995 to 1999,258,0,0,0,0,1,1,7,16,28,40,43,37,34,25,15,8,2,1,0,,54.8,,
1996 to 2000,286,0,0,0,0,1,3,6,18,31,43,48,42,39,27,17,9,2,1,0,,54.7,,
1997 to 2001,307,0,0,0,0,1,3,8,20,31,48,51,47,39,28,19,8,3,1,0,,54.5,,
1998 to 2002,336,0,0,0,0,0,3,8,22,32,54,54,53,44,32,20,9,3,2,0,,54.8,,
1999 to 2003,360,0,0,0,0,0,3,9,22,34,56,59,58,48,34,21,10,4,1,0,,54.9,,
2000 to 2004,376,0,0,0,0,0,4,8,23,35,57,62,62,53,37,19,11,4,1,0,,54.9,,
2001 to 2005,395,0,0,0,0,0,3,9,25,36,60,65,67,52,41,20,10,5,1,0,,55.0,,
2002 to 2006,410,0,0,0,0,0,3,9,25,37,62,67,73,56,41,20,10,4,1,0,,55.0,,
2003 to 2007,406,0,0,0,0,1,4,9,26,37,60,70,72,55,39,20,10,4,0,0,,54.7,,
2004 to 2008,407,0,0,0,0,1,3,10,28,36,59,71,72,53,40,18,8,4,0,0,,54.5,,
2005 to 2009,408,0,0,0,0,1,4,11,27,37,55,72,71,55,40,22,8,4,1,0,,54.8,,
2006 to 2010,393,0,0,0,0,1,3,10,25,36,53,71,67,55,39,20,8,3,1,0,,54.7,,
2007 to 2011,381,0,0,0,0,1,4,9,26,36,48,70,62,52,39,20,8,3,1,0,,54.8,,
2008 to 2012,365,0,0,0,0,1,3,9,23,35,45,63,59,52,39,20,8,3,2,1,,55.3,,
2009 to 2013,346,0,0,0,0,1,3,9,20,34,44,58,55,51,37,20,9,3,2,1,,55.4,,
2010 to 2014,332,0,0,0,0,1,3,9,19,32,44,55,54,46,37,17,10,3,1,1,,55.4,,
2011 to 2015,328,0,0,0,0,1,3,9,16,31,44,52,57,43,36,20,11,3,2,1,,55.7,,
2012 to 2016,321,0,0,0,0,1,2,9,13,29,43,51,57,43,37,19,12,4,2,1,,56.2,,
2013 to 2017,328,0,0,0,0,1,3,9,11,27,43,54,60,43,40,19,11,5,1,1,,56.4,,
2014 to 2018,341,0,0,0,0,1,3,8,11,26,43,54,64,46,41,22,14,6,2,1,,57.0,,
2015 to 2019,348,0,0,0,0,1,3,8,11,26,40,52,68,49,44,24,12,6,3,0,,57.4,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
