"Table 3M: Alcohol-specific deaths (new National Statistics definition) of males by age-group and average age at death: registered in Scotland, 1979 to 2019",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Age at death,,,,,,,,,,,,,,,,,,,,,
1982 to 1986,243,0,0,0,0,2,4,8,14,22,27,34,44,38,30,13,6,2,0,0,,55.0
1983 to 1987,248,0,0,0,0,2,5,8,15,19,29,35,43,40,31,12,6,2,0,0,,55.1
1984 to 1988,261,0,0,0,0,2,6,9,15,21,31,35,44,40,36,12,6,2,0,0,,55.0
1985 to 1989,277,0,0,0,0,2,5,8,15,24,32,39,46,43,39,14,6,2,0,0,,55.1
1986 to 1990,283,0,0,0,0,3,6,9,17,26,33,40,44,44,38,15,6,2,0,1,,54.9
1987 to 1991,288,0,0,0,0,2,5,9,18,27,35,39,43,42,38,18,7,2,0,1,,55.1
1988 to 1992,291,0,0,0,0,2,4,9,20,29,36,38,45,41,37,18,7,4,0,0,,55.0
1989 to 1993,294,0,0,0,0,2,3,7,22,30,37,41,44,39,35,21,7,4,1,1,,55.3
1990 to 1994,311,0,0,0,0,2,4,8,23,30,41,41,46,41,37,22,7,5,1,1,,55.3
1991 to 1995,337,0,0,0,1,2,3,10,21,31,44,47,51,47,40,25,8,5,1,0,,55.6
1992 to 1996,386,0,0,0,1,2,3,11,23,36,50,57,62,54,45,27,9,5,1,0,,55.6
1993 to 1997,451,0,0,0,1,2,4,13,25,45,62,67,70,61,53,31,11,4,2,0,,55.5
1994 to 1998,516,0,0,0,1,2,4,14,26,53,71,83,83,69,55,34,13,4,2,0,,55.3
1995 to 1999,581,0,0,0,1,2,5,16,32,59,77,98,92,78,59,37,17,4,2,1,,55.2
1996 to 2000,657,0,0,0,1,2,6,19,37,67,86,112,106,87,66,41,20,5,3,1,,55.1
1997 to 2001,727,0,0,0,1,2,7,21,41,71,95,124,111,100,78,44,22,5,3,1,,55.1
1998 to 2002,792,0,0,0,2,2,9,23,41,73,102,140,125,113,82,48,23,6,3,1,,55.2
1999 to 2003,856,0,0,0,1,1,9,23,46,77,109,144,134,130,88,55,27,7,3,0,,55.6
2000 to 2004,902,0,0,0,1,1,9,23,47,81,117,145,146,137,98,56,29,9,3,0,,55.8
2001 to 2005,926,0,0,0,1,1,8,22,47,81,125,146,147,144,101,60,28,11,3,0,,55.9
2002 to 2006,948,0,0,0,1,2,7,22,50,87,128,147,151,149,100,61,28,10,4,0,,55.8
2003 to 2007,942,0,0,0,1,2,6,22,51,87,125,145,153,148,101,60,27,11,3,0,,55.8
2004 to 2008,933,0,0,0,1,2,6,24,51,85,124,142,152,146,106,56,25,11,2,0,,55.7
2005 to 2009,902,0,0,0,1,3,5,23,49,83,120,140,142,143,100,56,22,11,3,0,,55.7
2006 to 2010,883,0,0,0,0,2,7,21,47,82,111,139,140,142,102,53,22,11,3,0,,55.8
2007 to 2011,839,0,0,0,0,2,7,20,43,75,102,130,134,135,98,55,23,13,3,1,,56.3
2008 to 2012,792,0,0,0,0,2,8,18,40,67,98,118,121,130,98,51,23,14,3,1,,56.5
2009 to 2013,747,0,0,0,0,2,8,18,36,63,91,113,115,122,90,50,24,13,4,1,,56.6
2010 to 2014,733,0,0,0,0,1,8,15,35,57,88,108,114,117,91,54,26,14,3,1,,57.1
2011 to 2015,709,0,0,0,0,1,7,14,32,51,86,102,108,112,93,55,29,14,4,1,,57.6
2012 to 2016,717,0,0,0,0,1,8,14,27,49,86,104,109,112,97,56,34,16,4,1,,57.9
2013 to 2017,741,0,0,0,0,0,7,13,27,46,86,108,113,112,105,63,39,16,4,1,,58.4
2014 to 2018,754,0,0,0,0,0,5,11,28,44,83,103,119,111,114,72,41,18,4,1,,59.1
2015 to 2019,744,0,0,0,0,0,5,12,26,43,80,101,115,109,113,74,41,18,6,1,,59.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,
