"Table C3: Drug-related deaths by selected drugs reported1 and council area, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council area 3,All drug-related deaths,Heroin / morphine 2,Methadone,"Heroin / morphine, Methadone or Bupren-orphine",Codeine or a codeine-containing compound,Dihydro-codeine or a d.h.c-containing compound,Any opiate or opioid,Benzodiazepines,,,,,Gabapentin and/or Pregabalin,Cocaine,Ecstasy-type,Amphet-amines,Alcohol,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Any benzo-diazepine,of which:,,of which:,,,,,,,,,,,,,,,,
,,,,,,,,,"any ""Prescrib-able"" benzo-diazepine",of which: ,"any ""Street"" benzo-diazepine",of which: ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Diazepam,,Etizolam,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,"1,264",645,560,959,55,116,"1,092",888,195,179,814,752,438,365,25,51,137,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,44,24,20,32,4,7,38,27,24,24,10,1,17,28,0,0,10,,,,,,,,,,
Aberdeenshire,26,15,9,19,0,4,21,9,8,8,2,1,4,13,1,1,6,,,,,,,,,,
Angus,21,13,11,19,1,1,19,19,8,7,18,14,8,4,0,0,4,,,,,,,,,,
Argyll & Bute,13,9,7,11,0,1,13,8,2,2,8,7,7,4,0,0,0,,,,,,,,,,
City of Edinburgh,96,41,48,68,7,10,78,66,39,38,54,46,46,45,1,4,15,,,,,,,,,,
Clackmannanshire,15,7,10,12,0,0,13,11,4,4,9,9,8,3,0,1,2,,,,,,,,,,
Dumfries & Galloway,35,16,10,21,3,2,27,16,2,2,16,14,9,9,2,1,1,,,,,,,,,,
Dundee City,72,43,25,58,3,10,70,58,10,10,56,56,28,18,0,4,8,,,,,,,,,,
East Ayrshire,41,20,21,31,1,2,37,31,2,2,30,28,15,9,0,3,2,,,,,,,,,,
East Dunbartonshire,7,5,5,6,0,4,7,4,0,0,4,4,4,1,0,0,1,,,,,,,,,,
East Lothian,18,10,9,14,2,3,15,15,13,13,7,6,7,3,0,3,4,,,,,,,,,,
East Renfrewshire,8,3,3,4,0,1,6,3,0,0,3,3,0,2,0,0,2,,,,,,,,,,
Falkirk,41,26,21,33,2,2,37,35,13,13,33,27,25,12,0,3,4,,,,,,,,,,
